General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,3007,20.90891793,136.428476,0,0,1.0352,1.02824,-4.614784,0.0415,0,0,911.241,361.452,369.05,1063.371,0,0
,,3008,20.90915908,136.322953,0,0,1.034997,1.028607,-4.627611,0.0424,0,0,910.045,361.472,369.065,1063.377,0,0
,,3009,20.90944743,135.929733,0,0,1.035256,1.017022,-4.648515,0.0407,0,0,915.351,361.507,369.087,1063.414,0,0
,,3010,20.90923946,135.354045,0,0,1.035862,1.028631,-4.594801,0.0424,0,0,915.353,361.519,369.093,1063.376,0,0
,,3011,20.9080057,135.817064,0,0,1.035037,1.028621,-4.622341,0.041,0,0,918.869,361.536,369.116,1063.328,0,0
,,3012,20.9085492,135.774309,0,0,1.035556,1.016624,-4.622337,0.0398,0,0,921.356,361.592,369.184,1063.262,0,0
,,3013,20.90879035,135.919167,0,0,1.035235,1.029222,-4.651594,0.0416,0,0,924.854,361.568,369.152,1063.245,0,0
,,3014,20.9090787,136.385685,0,0,1.034859,1.023161,-4.666134,0.042,0,0,918.327,361.561,369.144,1063.24,0,0
,,3015,20.90887074,136.434622,0,0,1.035427,1.021342,-4.652166,0.0396,0,0,911.408,361.582,369.15,1063.243,0,0
,,3016,20.90879035,135.837306,0,0,1.036099,1.027287,-4.67003,0.0396,0,0,912.875,361.568,369.133,1063.264,0,0
,,3017,20.90850201,135.4232,0,0,1.035696,1.029944,-4.669936,0.042,0,0,911.318,361.549,369.142,1063.275,0,0
,,3018,20.90870997,136.51602,0,0,1.035591,1.023086,-4.607086,0.0422,0,0,905.224,361.579,369.165,1063.266,0,0
,,3019,20.9090787,136.367661,0,0,1.035603,1.026515,-4.656175,0.043,0,0,902.355,361.58,369.149,1063.248,0,0
,,3020,20.90973577,136.066788,0,0,1.035355,1.033018,-4.64699,0.0413,0,0,905.269,361.578,369.139,1063.181,0,0
,,3021,20.90960819,134.606085,0,0,1.036255,1.017702,-4.609994,0.0408,0,0,895.017,361.596,369.154,1063.194,0,0
,,3022,20.90895112,135.562587,0,0,1.035669,1.027582,-4.670879,0.0398,0,0,896.447,361.605,369.179,1063.231,0,0
,,3023,20.90792532,136.38343,0,0,1.035408,1.030332,-4.552448,0.0414,0,0,896.135,361.608,369.185,1063.274,0,0
,,3024,20.9085492,136.282264,0,0,1.036033,1.02194,-4.573488,0.041,0,0,889.957,361.574,369.115,1063.292,0,0
,,3025,20.90879035,135.77485,0,0,1.036096,1.02491,-4.70179,0.0411,0,0,896.686,361.532,369.105,1063.286,0,0
,,3026,20.9090787,135.860087,0,0,1.035636,1.029183,-4.682302,0.0391,0,0,898.298,361.547,369.119,1063.263,0,0
,,3027,20.90915908,136.188584,0,0,1.035517,1.023893,-4.618386,0.0394,0,0,906.188,361.562,369.145,1063.244,0,0
,,3028,20.90858239,136.400677,0,0,1.035449,1.019813,-4.659326,0.0415,0,0,915.31,361.564,369.121,1063.256,0,0
,,3029,20.90842162,137.550171,0,0,1.035002,1.029997,-4.610997,0.0405,0,0,908.325,361.532,369.085,1063.225,0,0
,,3030,20.90899832,136.902239,0,0,1.035311,1.020004,-4.575272,0.0402,0,0,908.091,361.5,369.062,1063.26,0,0
,,3031,20.90887074,136.969768,0,0,1.035475,1.0231,-4.669019,0.0408,0,0,911.06,361.488,369.071,1063.235,0,0
,,3032,20.90936704,136.876392,0,0,1.035217,1.030183,-4.626662,0.0413,0,0,913.292,361.51,369.052,1063.24,0,0
,,3033,20.90923946,137.394701,0,0,1.035773,1.027728,-4.56282,0.0405,0,0,908.921,361.497,369.052,1063.259,0,0
,,3034,20.90829404,137.827915,0,0,1.035408,1.021648,-4.668465,0.0408,0,0,902.952,361.425,368.945,1063.263,0,0
,,3035,20.9080529,138.122995,0,0,1.035392,1.026984,-4.625619,0.0391,0,0,896.472,361.331,368.853,1063.192,0,0
,,3036,20.90862959,137.07224,0,0,1.035858,1.030161,-4.58944,0.0384,0,0,902.935,361.297,368.814,1063.16,0,0
,,3037,20.9090787,136.19199,0,0,1.035843,1.020325,-4.671867,0.0397,0,0,888.058,361.292,368.83,1063.175,0,0
,,3038,20.90915908,136.473636,0,0,1.035827,1.031804,-4.619431,0.041,0,0,899.777,361.31,368.852,1063.228,0,0
,,3039,20.90915908,135.344956,0,0,1.036082,1.027985,-4.598918,0.0416,0,0,914.199,361.338,368.876,1063.214,0,0
,,3040,20.90858239,136.217604,0,0,1.03597,1.020382,-4.671551,0.0406,0,0,898.601,361.342,368.862,1063.234,0,0
,,3041,20.90842162,137.065139,0,0,1.035807,1.02972,-4.611383,0.0412,0,0,906.189,361.339,368.837,1063.285,0,0
,,3042,20.90899832,137.248586,0,0,1.035393,1.02363,-4.59819,0.0397,0,0,896.683,361.341,368.845,1063.349,0,0
,,3043,20.90915908,136.366248,0,0,1.035196,1.020656,-4.684872,0.0401,0,0,906.145,361.343,368.845,1063.426,0,0
,,3044,20.90887074,136.350797,0,0,1.035216,1.026611,-4.625043,0.0402,0,0,905.491,361.353,368.857,1063.484,0,0
,,3045,20.90850201,137.066825,0,0,1.035634,1.030257,-4.622335,0.041,0,0,904.055,361.342,368.84,1063.442,0,0
,,3046,20.90842162,136.942376,0,0,1.035432,1.016699,-4.690403,0.0416,0,0,908.412,361.333,368.836,1063.454,0,0
,,3047,20.90870997,138.12411,0,0,1.035231,1.023398,-4.659241,0.0411,0,0,909.328,361.317,368.822,1063.459,0,0
,,3048,20.9090787,137.174937,0,0,1.035605,1.032221,-4.698856,0.0409,0,0,916.789,361.327,368.865,1063.446,0,0
,,3049,20.90944743,136.670043,0,0,1.035222,1.026693,-4.640858,0.0411,0,0,904.645,361.333,368.821,1063.408,0,0
,,3050,20.90981616,137.720988,0,0,1.03567,1.020791,-4.695466,0.0418,0,0,902.063,361.295,368.768,1063.4,0,0
,,3051,20.9090315,137.090816,0,0,1.036307,1.02491,-4.733089,0.0386,0,0,906.313,361.3,368.77,1063.359,0,0
,,3052,20.90821366,137.75412,0,0,1.035019,1.031787,-4.651549,0.039,0,0,907.04,361.305,368.788,1063.364,0,0
,,3053,20.90862959,136.86253,0,0,1.03575,1.022883,-4.622076,0.0404,0,0,911.511,361.296,368.757,1063.35,0,0
,,3054,20.90879035,137.66131,0,0,1.036335,1.017161,-4.695885,0.041,0,0,915.481,361.27,368.717,1063.305,0,0
,,3055,20.90965539,137.687277,0,0,1.036095,1.022232,-4.635699,0.0408,0,0,908.474,361.244,368.712,1063.309,0,0
,,3056,20.90874315,137.412154,0,0,1.035826,1.036017,-4.617252,0.0418,0,0,897.121,361.205,368.68,1063.336,0,0
,,3057,20.90842162,136.644172,0,0,1.035596,1.02031,-4.630974,0.0413,0,0,901.23,361.2,368.68,1063.344,0,0
,,3058,20.90842162,137.316101,0,0,1.035681,1.018891,-4.639915,0.0413,0,0,906.264,361.231,368.704,1063.345,0,0
,,3059,20.90842162,137.554823,0,0,1.036214,1.025622,-4.66612,0.0419,0,0,913.15,361.239,368.683,1063.333,0,0
,,3060,20.90870997,137.095876,0,0,1.035293,1.030884,-4.592655,0.0399,0,0,917.63,361.216,368.66,1063.343,0,0
,,3061,20.9090787,137.570253,0,0,1.03511,1.019328,-4.586156,0.04,0,0,915.638,361.216,368.696,1063.352,0,0
,,3062,20.90944743,137.304173,0,0,1.035029,1.026668,-4.680981,0.0401,0,0,917.826,361.271,368.757,1063.352,0,0
,,3063,20.90895112,136.844988,0,0,1.035742,1.031862,-4.649269,0.0379,0,0,920.572,361.325,368.794,1063.327,0,0
,,3064,20.90821366,136.900272,0,0,1.035836,1.028995,-4.6288,0.041,0,0,914.025,361.345,368.816,1063.334,0,0
,,3065,20.90862959,136.123013,0,0,1.036188,1.01783,-4.702424,0.0401,0,0,907.873,361.349,368.802,1063.359,0,0
,,3066,20.9090787,135.859676,0,0,1.035641,1.021929,-4.677691,0.0388,0,0,910.602,361.327,368.807,1063.392,0,0
,,3067,20.90973577,136.575213,0,0,1.035729,1.02929,-4.643634,0.039,0,0,916.32,361.298,368.776,1063.428,0,0
,,3068,20.90960819,135.576085,0,0,1.035512,1.02082,-4.671581,0.0375,0,0,915.218,361.292,368.755,1063.435,0,0
,,3069,20.90866277,135.701377,0,0,1.035678,1.018905,-4.688983,0.0395,0,0,919.377,361.304,368.777,1063.419,0,0
,,3070,20.90842162,135.914559,0,0,1.035837,1.025006,-4.681573,0.0396,0,0,914.667,361.297,368.79,1063.41,0,0
,,3071,20.90870997,136.239394,0,0,1.035254,1.032499,-4.650434,0.0411,0,0,909.644,361.321,368.802,1063.403,0,0
,,3072,20.90879035,136.1,0,0,1.035828,1.019378,-4.628691,0.0394,0,0,912.041,361.324,368.801,1063.43,0,0
,,3073,20.90879035,136.249969,0,0,1.036283,1.023943,-4.687192,0.0398,0,0,906.286,361.314,368.79,1063.476,0,0
,,3074,20.90936704,137.462949,0,0,1.035361,1.027664,-4.69286,0.0379,0,0,916.047,361.291,368.76,1063.493,0,0
,,3075,20.90837443,138.469478,0,0,1.035467,1.030197,-4.618031,0.0386,0,0,913.198,361.279,368.747,1063.511,0,0
,,3076,20.90834124,137.616075,0,0,1.035281,1.017567,-4.682614,0.0381,0,0,910.272,361.293,368.757,1063.547,0,0
,,3077,20.90870997,136.709464,0,0,1.035425,1.024508,-4.663913,0.0398,0,0,914.201,361.271,368.75,1063.565,0,0
,,3078,20.90965539,136.372815,0,0,1.035736,1.030076,-4.62786,0.038,0,0,913.663,361.283,368.756,1063.569,0,0
,,3079,20.90960819,136.156338,0,0,1.036143,1.025811,-4.648294,0.0401,0,0,923.727,361.279,368.801,1063.561,0,0
,,3080,20.90895112,136.507685,0,0,1.035606,1.017044,-4.658806,0.0388,0,0,914.377,361.283,368.77,1063.561,0,0
,,3081,20.90850201,137.549337,0,0,1.03543,1.024099,-4.648742,0.0381,0,0,920.383,361.262,368.76,1063.566,0,0
,,3082,20.90842162,137.352925,0,0,1.035317,1.031414,-4.654497,0.0389,0,0,919.078,361.272,368.775,1063.575,0,0
,,3083,20.90870997,136.436552,0,0,1.034925,1.023847,-4.586643,0.0351,0,0,918.381,361.292,368.793,1063.59,0,0
,,3084,20.9090787,135.431574,0,0,1.035772,1.020716,-4.635256,0.0365,0,0,911.019,361.312,368.811,1063.564,0,0
,,3085,20.90887074,135.611294,0,0,1.03581,1.023573,-4.666827,0.0369,0,0,904.787,361.312,368.791,1063.554,0,0
,,3086,20.9090787,136.186953,0,0,1.036333,1.034185,-4.601279,0.0371,0,0,902.092,361.327,368.803,1063.512,0,0
,,3087,20.90858239,136.899599,0,0,1.035866,1.024538,-4.59793,0.0351,0,0,904.009,361.308,368.792,1063.5,0,0
,,3088,20.90842162,137.392642,0,0,1.035329,1.022175,-4.668066,0.0361,0,0,895.105,361.295,368.754,1063.509,0,0
,,3089,20.90899832,137.429184,0,0,1.03613,1.025081,-4.63156,0.0382,0,0,901.266,361.264,368.745,1063.513,0,0
,,3090,20.90915908,137.192694,0,0,1.03575,1.033402,-4.617115,0.036,0,0,903.056,361.272,368.75,1063.518,0,0
,,3091,20.90944743,136.150768,0,0,1.035236,1.018595,-4.644966,0.0368,0,0,902.337,361.287,368.793,1063.533,0,0
,,3092,20.90923946,135.924983,0,0,1.035345,1.020168,-4.641788,0.0368,0,0,902.026,361.319,368.813,1063.521,0,0
,,3093,20.90829404,136.919555,0,0,1.035289,1.027347,-4.652981,0.0359,0,0,898.251,361.306,368.807,1063.508,0,0
,,3094,20.90862959,136.716099,0,0,1.035979,1.033199,-4.634351,0.0383,0,0,885.656,361.329,368.803,1063.558,0,0
,,3095,20.90879035,136.683174,0,0,1.035526,1.020738,-4.596248,0.0371,0,0,890.2,361.341,368.843,1063.56,0,0
,,3096,20.90936704,135.329511,0,0,1.035637,1.024956,-4.678189,0.0376,0,0,892.211,361.336,368.811,1063.536,0,0
,,3097,20.90952781,135.138753,0,0,1.035493,1.029799,-4.670026,0.0364,0,0,899.458,361.302,368.82,1063.565,0,0
,,3098,20.90895112,136.851071,0,0,1.035475,1.031392,-4.582856,0.0365,0,0,909.584,361.284,368.813,1063.552,0,0
,,3099,20.90850201,136.650671,0,0,1.035465,1.022303,-4.636484,0.0373,0,0,903.723,361.33,368.847,1063.542,0,0
,,3100,20.90842162,136.938925,0,0,1.035527,1.021004,-4.691797,0.0379,0,0,904.8,361.31,368.832,1063.586,0,0
,,3101,20.90755659,137.024625,0,0,1.036199,1.028311,-4.659933,0.0377,0,0,908.724,361.267,368.795,1063.639,0,0
,,3102,20.90731544,137.528868,0,0,1.035885,1.031766,-4.657173,0.038,0,0,912.275,361.265,368.765,1063.721,0,0
